地域,得票数,得票率
横浜市鶴見区,6157,4.4
横浜市神奈川区,6796,5.5
横浜市西区,3424,6.4
横浜市中区,3670,5.3
横浜市南区,3426,3.7
横浜市保土ケ谷区,4215,4.1
横浜市磯子区,2990,3.7
横浜市金沢区,3510,3.5
横浜市港北区,12429,6.5
横浜市戸塚区,5825,4.0
横浜市港南区,4065,3.7
横浜市旭区,4041,3.3
横浜市緑区,3755,4.1
横浜市瀬谷区,1809,3.1
横浜市栄区,2361,3.7
横浜市泉区,2794,3.6
横浜市青葉区,8912,5.4
横浜市都筑区,5873,5.2
川崎市川崎区,3696,3.6
川崎市幸区,4887,5.5
川崎市中原区,9970,7.0
川崎市高津区,6651,5.6
川崎市多摩区,5831,5.1
川崎市宮前区,6144,5.2
川崎市麻生区,4716,4.9
相模原市緑区,1969,2.4
相模原市中央区,3493,2.7
相模原市南区,4844,3.4
横須賀市,3671,2.2
平塚市,3154,2.6
鎌倉市,4805,5.2
藤沢市,8553,3.9
小田原市,2320,2.6
茅ヶ崎市,4894,3.9
逗子市,1508,4.8
三浦市,302,1.7
秦野市,1795,2.4
厚木市,2695,2.7
大和市,3934,3.4
伊勢原市,1288,2.7
海老名市,2858,4.0
座間市,1765,2.9
南足柄市,385,2.0
綾瀬市,824,2.2
葉山町,639,3.9
寒川町,471,2.2
大磯町,551,3.4
二宮町,435,3.0
中井町,66,1.5
大井町,157,1.9
松田町,113,2.1
山北町,83,1.6
開成町,274,2.9
箱根町,65,1.4
真鶴町,74,2.1
湯河原町,208,1.8
愛川町,232,1.4
清川村,23,1.6
